brazil,congo_forest,day,month,year
5000,660,15b,2,2002
3950,730,15a,3,2002
3362,810,15b,3,2002
3970,950,15a,4,2002
4660,840,15b,4,2002
5760,990,15a,5,2002
3692,870,15b,5,2002
6500,990,15a,6,2002
5780,830,15b,6,2002
5320,760,15a,7,2002
7160,880,15b,7,2002
7260,950,15a,8,2002
8470,900,15b,8,2002
7940,880,15a,9,2002
8540,870,15b,9,2002
8560,820,15a,10,2002
8240,640,15b,10,2002
7860,840,15a,11,2002
8120,710,15b,11,2002
7040,640,15a,12,2002
8090,680,15b,12,2002
6702,560,15a,1,2003
8020,690,15b,1,2003
6290,640,15a,2,2003
5700,640,15b,2,2003
4060,780,15a,3,2003
4860,760,15b,3,2003
3920,870,15a,4,2003
3430,920,15b,4,2003
2972,920,15a,5,2003
5010,860,15b,5,2003
6120,830,15a,6,2003
5960,880,15b,6,2003
5140,870,15a,7,2003
6270,790,15b,7,2003
7280,980,15a,8,2003
7020,750,15b,8,2003
8200,790,15a,9,2003
8650,760,15b,9,2003
7760,720,15a,10,2003
8380,900,15b,10,2003
8220,750,15a,11,2003
6542,820,15b,11,2003
7900,710,15a,12,2003
7750,710,15b,12,2003
6972,600,15a,1,2004
7900,710,15b,1,2004
4432,780,15a,2,2004
4870,680,15b,2,2004
6000,880,15a,3,2004
5930,990,15b,3,2004
2732,890,15a,4,2004
4330,940,15b,4,2004
4590,840,15a,5,2004
3842,920,15b,5,2004
4232,950,15a,6,2004
6240,890,15b,6,2004
4712,860,15a,7,2004
6630,730,15b,7,2004
6720,820,15a,8,2004
7870,750,15b,8,2004
8010,650,15a,9,2004
7780,640,15b,9,2004
8430,670,15a,10,2004
8170,640,15b,10,2004
7830,530,15a,11,2004
8320,550,15b,11,2004
8140,640,15a,12,2004
8140,670,15b,12,2004
8240,590,15a,1,2005
6860,730,15b,1,2005
6820,710,15a,2,2005
5484,800,15b,2,2005
4110,800,15a,3,2005
3792,800,15b,3,2005
5870,950,15a,4,2005
6020,1010,15b,4,2005
3772,870,15a,5,2005
3492,770,15b,5,2005
3790,730,15a,6,2005
4810,840,15b,6,2005
6870,920,15a,7,2005
7230,810,15b,7,2005
6592,640,15a,8,2005
8030,610,15b,8,2005
8040,490,15a,9,2005
8360,680,15b,9,2005
8200,650,15a,10,2005
8460,660,15b,10,2005
8000,580,15a,11,2005
7940,590,15b,11,2005
8060,630,15a,12,2005
7390,550,15b,12,2005
7860,670,15a,1,2006
8040,730,15b,1,2006
7270,850,15a,2,2006
6310,890,15b,2,2006
6900,760,15a,3,2006
5980,820,15b,3,2006
3620,950,15a,4,2006
